"Genus","Time","Location","Zone","Current_Country","Habitat","Cranial_Capacity","Height","Incisor_Size","Jaw_Shape","Torus_Supraorbital","Prognathism","Foramen_Mágnum_Position","Canine.Size","Canines_Shape","Tooth_Enamel","Tecno","Tecno_type","biped","Arms","Foots","Diet","Sexual_Dimorphism","Hip","Vertical_Front","Anatomy","Migrated","Skeleton"
"hominino Sahelanthropus tchadensis",6.78,"Africa","central","Republic of Chad","mixed",85.45,97.01,"small","conical","very protruding","high","posterior","small","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Australopithecus Afarensis",3.9,"Africa","oriental","Kenya","mixed",486.11,131.63,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","walk","dry fruits","high","slim","no","old","no","refined"
"Australopithecus Garhi",2.49,"Africa","oriental","Ethiopia","mixed",260.69,120.68,"big","U shape","very protruding","medium-high","anterior","big","conicalls","thick","likely","primitive","yes","climbing","walk","omnivore","high","slim","no","old","no","light"
"Homo Rudolfensis",2.64,"Africa","oriental","Kenya","savannah",566.75,134.73,"small","U shape","less protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","walk","hard fruits","high","slim","no","mixed","no","refined"
"Australopithecus Anamensis",4.24,"Africa","oriental","Kenya","forest-gallery",283.83,115.45,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"hominino Orrorin tugenencin",6.44,"Africa","oriental","Kenya","forest",251.85,127.34,"small","conical","very protruding","high","posterior","big","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Australopithecus Africanus",3.36,"Africa","south","South Africa","forest-gallery",653.68,113.65,"small","conical","very protruding","medium-high","anterior","small","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","yes","old","no","light"
"Homo Ergaster",1.59,"Africa","oriental","Kenya","savannah",826.37,163.58,"very small","modern","very protruding","reduced","modern","small","incisiform","medium-thin","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"hominino Orrorin tugenencin",6.62,"Africa","oriental","Kenya","forest",183.23,112.1,"small","conical","very protruding","high","posterior","big","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Homo Erectus",1,"Asia ","west","Indonesia","savannah",965.58,161.82,"very small","modern","little protruding","reduced","modern","small","incisiform","thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"hominino Sahelanthropus tchadensis",6.79,"Africa","central","Republic of Chad","mixed",112.04,92.98,"small","conical","very protruding","high","posterior","small","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Homo Rudolfensis",2.76,"Africa","oriental","Kenya","savannah",782.65,137.81,"small","U shape","less protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","walk","hard fruits","high","slim","no","mixed","no","refined"
"hominino Sahelanthropus tchadensis",7.14,"Africa","central","Republic of Chad","mixed",194.85,98.43,"small","conical","very protruding","high","posterior","small","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Paranthropus Robustus",2.53,"Africa","south","South Africa","jungle",637.2,112.68,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Rudolfensis",2.69,"Africa","oriental","Kenya","savannah",785.28,129.17,"small","U shape","less protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","walk","hard fruits","high","slim","no","mixed","no","refined"
"Australopithecus Garhi",2.56,"Africa","oriental","Ethiopia","mixed",494.16,120.05,"big","U shape","very protruding","medium-high","anterior","big","conicalls","thick","likely","primitive","yes","climbing","walk","omnivore","high","slim","no","old","no","light"
"hominino Sahelanthropus tchadensis",7.1,"Africa","central","Republic of Chad","mixed",114.4,98.81,"small","conical","very protruding","high","posterior","small","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Australopithecus Afarensis",4.09,"Africa","oriental","Kenya","mixed",380.38,121.36,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","walk","dry fruits","high","slim","no","old","no","refined"
"Homo Naledi",0.16,"Africa","south","South Africa","jungle",437.78,132.35,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Australopithecus Anamensis",4.04,"Africa","oriental","Kenya","forest-gallery",319.57,110.76,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"Homo Heidelbergensis",0.23,"Europa","central","Germany","cold forest",1175.26,176.21,"small","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 2","modern","manipulate","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Paranthropus Aethiopicus",2.42,"Africa","oriental","Kenya","forest-savanna",320.08,109.82,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Habilis",2.95,"Africa","oriental","Ethiopia","savannah",845.85,137.17,"small","U shape","little protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","yes","modern","yes","robust"
"hominino Sahelanthropus tchadensis",7.16,"Africa","central","Republic of Chad","mixed",267.91,82.12,"small","conical","very protruding","high","posterior","small","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Australopithecus Sediba",1.74,"Africa","south","South Africa","mixed",356.84,116.4,"small","U shape","very protruding","medium-high","anterior","small","conicalls","medium-thin","no","no","yes","climbing","walk","soft fruits","high","slim","no","old","no","light"
"Paranthropus Boisei",2.51,"Africa","oriental","Ethiopia","forest",493.93,118.19,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Floresiensis",0.38,"Asia ","oriental","Indonesia","peninsular",316.09,94.71,"small","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","yes","mode 1","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"hominino Sahelanthropus tchadensis",7.39,"Africa","central","Republic of Chad","mixed",192.59,90.92,"small","conical","very protruding","high","posterior","small","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Paranthropus Boisei",2.08,"Africa","oriental","Ethiopia","forest",350.04,102.98,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Georgicus",2.42,"Asia ","west","Georgia","savannah",832.53,156.07,"medium large","U shape","very protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Australopithecus Anamensis",4.21,"Africa","oriental","Kenya","forest-gallery",250.36,125.58,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"Homo Erectus",1.38,"Asia ","west","Indonesia","savannah",1158.66,169.84,"very small","modern","little protruding","reduced","modern","small","incisiform","thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Homo Naledi",0.19,"Africa","south","South Africa","jungle",297.94,129,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Australopithecus Garhi",3.01,"Africa","oriental","Ethiopia","mixed",228.43,123.58,"big","U shape","very protruding","medium-high","anterior","big","conicalls","thick","likely","primitive","yes","climbing","walk","omnivore","high","slim","no","old","no","light"
"Homo Rodhesiensis",0.31,"Africa","oriental","Ethiopia","savannah",1142.9,148.63,"big","U shape","less protruding","medium-high","modern","big","incisiform","medium-thick","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","slim","yes","mixed","no","robust"
"Homo Sapiens",0.62,"Africa","oriental","Kenya","savannah",1101.13,175.41,"very small","modern","flat","absent","modern","small","incisiform","very thin","yes","mode 4","modern","manipulate with precision","walk","carnivorous","reduced","very modern","modern","very modern","yes","refined"
"Homo Sapiens",0.61,"Africa","oriental","Kenya","savannah",1169.45,169.31,"very small","modern","flat","absent","modern","small","incisiform","very thin","yes","mode 4","modern","manipulate with precision","walk","carnivorous","reduced","very modern","modern","very modern","yes","refined"
"Homo Georgicus",1.71,"Asia ","west","Georgia","savannah",621.79,145.51,"medium large","U shape","very protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"hominino Sahelanthropus tchadensis",7.19,"Africa","central","Republic of Chad","mixed",139.11,90.2,"small","conical","very protruding","high","posterior","small","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Homo Floresiensis",0.05,"Asia ","oriental","Indonesia","peninsular",267.11,109.77,"small","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","yes","mode 1","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Australopithecus Sediba",2.47,"Africa","south","South Africa","mixed",315.23,106.7,"small","U shape","very protruding","medium-high","anterior","small","conicalls","medium-thin","no","no","yes","climbing","walk","soft fruits","high","slim","no","old","no","light"
"Homo Habilis",2.93,"Africa","oriental","Ethiopia","savannah",709.14,126.32,"small","U shape","little protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","yes","modern","yes","robust"
"Homo Habilis",2.87,"Africa","oriental","Ethiopia","savannah",712.58,124.05,"small","U shape","little protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","yes","modern","yes","robust"
